 b, c, e, f
0, Note_on_c, 86, 80
0, Note_on_c, 78, 80
0, Note_on_c, 74, 80
50, Note_on_c, 86, 0
55, Note_on_c, 74, 0
55, Note_on_c, 78, 0
60, Note_on_c, 85, 80
169, Note_on_c, 85, 0
180, Note_on_c, 74, 80
180, Note_on_c, 83, 80
180, Note_on_c, 78, 80
295, Note_on_c, 78, 0
295, Note_on_c, 83, 0
295, Note_on_c, 74, 0
300, Note_on_c, 81, 80
355, Note_on_c, 81, 0
360, Note_on_c, 79, 80
415, Note_on_c, 79, 0
420, Note_on_c, 78, 80
475, Note_on_c, 78, 0
480, Note_on_c, 76, 80
530, Note_on_c, 76, 0
540, Note_on_c, 74, 80
643, Note_on_c, 74, 0
660, Note_on_c, 74, 80
938, Note_on_c, 74, 0
960, Note_on_c, 86, 80
960, Note_on_c, 78, 80
960, Note_on_c, 74, 80
1010, Note_on_c, 86, 0
1015, Note_on_c, 74, 0
1015, Note_on_c, 78, 0
1020, Note_on_c, 85, 80
1129, Note_on_c, 85, 0
1140, Note_on_c, 78, 80
1140, Note_on_c, 83, 80
1140, Note_on_c, 75, 80
1255, Note_on_c, 75, 0
1255, Note_on_c, 83, 0
1255, Note_on_c, 78, 0
1260, Note_on_c, 83, 80
1310, Note_on_c, 83, 0
1320, Note_on_c, 78, 80
1320, Note_on_c, 84, 80
1320, Note_on_c, 75, 80
1421, Note_on_c, 75, 0
1421, Note_on_c, 84, 0
1421, Note_on_c, 78, 0
1560, Note_on_c, 97, 80
1615, Note_on_c, 97, 0
1620, Note_on_c, 96, 80
1675, Note_on_c, 96, 0
1680, Note_on_c, 97, 80
1730, Note_on_c, 97, 0
1740, Note_on_c, 100, 80
1904, Note_on_c, 100, 0
1920, Note_on_c, 79, 80
1920, Note_on_c, 88, 80
1920, Note_on_c, 76, 80
1970, Note_on_c, 88, 0
1975, Note_on_c, 76, 0
1975, Note_on_c, 79, 0
1980, Note_on_c, 86, 80
2089, Note_on_c, 86, 0
2100, Note_on_c, 85, 80
2100, Note_on_c, 76, 80
2100, Note_on_c, 79, 80
2215, Note_on_c, 79, 0
2215, Note_on_c, 76, 0
2215, Note_on_c, 85, 0
2220, Note_on_c, 83, 80
2275, Note_on_c, 83, 0
2280, Note_on_c, 81, 80
2335, Note_on_c, 81, 0
2340, Note_on_c, 79, 80
2395, Note_on_c, 79, 0
2400, Note_on_c, 78, 80
2455, Note_on_c, 78, 0
2460, Note_on_c, 76, 80
2569, Note_on_c, 76, 0
2580, Note_on_c, 76, 80
2858, Note_on_c, 76, 0
2880, Note_on_c, 81, 80
2880, Note_on_c, 79, 80
2880, Note_on_c, 88, 80
2930, Note_on_c, 88, 0
2940, Note_on_c, 85, 80
3049, Note_on_c, 85, 0
3049, Note_on_c, 79, 0
3049, Note_on_c, 81, 0
3060, Note_on_c, 86, 80
3115, Note_on_c, 86, 0
3120, Note_on_c, 85, 80
3120, Note_on_c, 88, 80
3120, Note_on_c, 79, 80
3223, Note_on_c, 79, 0
3223, Note_on_c, 88, 0
3223, Note_on_c, 85, 0
3240, Note_on_c, 80, 80
3240, Note_on_c, 86, 80
3240, Note_on_c, 89, 80
3343, Note_on_c, 89, 0
3343, Note_on_c, 86, 0
3343, Note_on_c, 80, 0
3480, Note_on_c, 102, 80
3528, Note_on_c, 102, 0
3540, Note_on_c, 105, 80
3588, Note_on_c, 105, 0
3600, Note_on_c, 102, 80
3650, Note_on_c, 102, 0
3660, Note_on_c, 98, 80
3804, Note_on_c, 98, 0
3840, Note_on_c, 74, 80
3840, Note_on_c, 86, 80
3840, Note_on_c, 78, 80
3890, Note_on_c, 86, 0
3895, Note_on_c, 78, 0
3895, Note_on_c, 74, 0
3900, Note_on_c, 85, 80
4009, Note_on_c, 85, 0
4020, Note_on_c, 78, 80
4020, Note_on_c, 74, 80
4020, Note_on_c, 83, 80
4135, Note_on_c, 83, 0
4135, Note_on_c, 74, 0
4135, Note_on_c, 78, 0
4140, Note_on_c, 81, 80
4195, Note_on_c, 81, 0
4200, Note_on_c, 79, 80
4255, Note_on_c, 79, 0
4260, Note_on_c, 78, 80
4315, Note_on_c, 78, 0
4320, Note_on_c, 76, 80
4370, Note_on_c, 76, 0
4380, Note_on_c, 74, 80
4483, Note_on_c, 74, 0
4500, Note_on_c, 74, 80
4778, Note_on_c, 74, 0
4800, Note_on_c, 78, 80
4800, Note_on_c, 74, 80
4800, Note_on_c, 86, 80
4850, Note_on_c, 86, 0
4855, Note_on_c, 74, 0
4855, Note_on_c, 78, 0
4860, Note_on_c, 83, 80
4969, Note_on_c, 83, 0
4980, Note_on_c, 74, 80
4980, Note_on_c, 81, 80
4980, Note_on_c, 78, 80
5095, Note_on_c, 78, 0
5095, Note_on_c, 81, 0
5095, Note_on_c, 74, 0
5100, Note_on_c, 83, 80
