a, b, c, d, e, f
0, 0, Header, 1, 6, 192
1, 0, Start_track
1, 0, Title_t, "92S"
1, 0, Copyright_t, "May NOT be used for commercial purposes."
1, 0, Text_t, "Roll expression/accent tracks, where present, converted to MIDI velocties.\012"
1, 0, Text_t, "/roll_number: \012"
1, 0, Text_t, "/title: Grandpa's Spells\012"
1, 0, Text_t, "/composer: Jelly Roll Morton\012"
1, 0, Text_t, "/pianist: Jelly Roll Morton\012"
1, 0, Text_t, "/copyright_year: 1926\012"
1, 0, Text_t, "/roll_type: 88n\012"
1, 0, Text_t, " \012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 500000
1, 0, Marker_t, "Standard MIDI:LPI 111:Tempo  100: 07-07-2004"
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "Grandpa's Spells (1926)"
2, 114, Note_on_c, 0, 76, 80
2, 118, Note_on_c, 0, 50, 80
2, 118, Note_on_c, 0, 59, 80
2, 118, Note_on_c, 0, 67, 80
2, 118, Note_on_c, 0, 79, 80
2, 120, Note_on_c, 0, 49, 80
2, 121, Note_on_c, 0, 66, 80
2, 125, Control_c, 0, 64, 127
2, 127, Note_on_c, 0, 66, 0
2, 129, Note_on_c, 0, 49, 0
2, 166, Note_on_c, 0, 50, 0
2, 166, Note_on_c, 0, 59, 0
2, 166, Note_on_c, 0, 76, 0
2, 166, Note_on_c, 0, 79, 0
2, 166, Note_on_c, 0, 67, 0
2, 192, Control_c, 0, 64, 0
2, 211, Note_on_c, 0, 60, 80
2, 211, Note_on_c, 0, 69, 80
2, 211, Note_on_c, 0, 77, 80
2, 211, Note_on_c, 0, 81, 80
2, 213, Note_on_c, 0, 52, 80
2, 256, Note_on_c, 0, 81, 0
2, 256, Note_on_c, 0, 77, 0
2, 256, Note_on_c, 0, 69, 0
2, 258, Note_on_c, 0, 60, 0
2, 258, Note_on_c, 0, 52, 0
2, 303, Note_on_c, 0, 53, 80
2, 303, Note_on_c, 0, 62, 80
2, 303, Note_on_c, 0, 71, 80
2, 305, Note_on_c, 0, 83, 80
2, 307, Note_on_c, 0, 79, 80
2, 357, Note_on_c, 0, 79, 0
2, 357, Note_on_c, 0, 53, 0
2, 357, Note_on_c, 0, 71, 0
2, 357, Note_on_c, 0, 62, 0
2, 360, Note_on_c, 0, 83, 0
2, 406, Note_on_c, 0, 55, 80
2, 406, Note_on_c, 0, 64, 80
2, 406, Note_on_c, 0, 72, 80
2, 408, Note_on_c, 0, 84, 80
2, 409, Note_on_c, 0, 81, 80
2, 456, Note_on_c, 0, 81, 0
2, 456, Note_on_c, 0, 72, 0
2, 456, Note_on_c, 0, 55, 0
2, 456, Note_on_c, 0, 64, 0
2, 456, Note_on_c, 0, 84, 0
2, 504, Note_on_c, 0, 65, 80
2, 504, Note_on_c, 0, 86, 80
2, 505, Note_on_c, 0, 57, 80
2, 505, Note_on_c, 0, 83, 80
2, 509, Note_on_c, 0, 74, 80
2, 530, Control_c, 0, 64, 127
2, 556, Note_on_c, 0, 86, 0
2, 558, Note_on_c, 0, 83, 0
2, 558, Note_on_c, 0, 65, 0
2, 558, Note_on_c, 0, 57, 0
2, 558, Note_on_c, 0, 74, 0
2, 595, Control_c, 0, 64, 0
2, 603, Note_on_c, 0, 59, 80
2, 603, Note_on_c, 0, 67, 80
2, 603, Note_on_c, 0, 76, 80
2, 603, Note_on_c, 0, 84, 80
2, 607, Note_on_c, 0, 88, 80
2, 654, Note_on_c, 0, 67, 0
2, 656, Note_on_c, 0, 84, 0
2, 656, Note_on_c, 0, 76, 0
2, 658, Note_on_c, 0, 59, 0
2, 658, Note_on_c, 0, 88, 0
2, 703, Note_on_c, 0, 60, 80
2, 705, Note_on_c, 0, 69, 80
2, 705, Note_on_c, 0, 77, 80
2, 705, Note_on_c, 0, 86, 80
2, 705, Note_on_c, 0, 89, 80
2, 753, Note_on_c, 0, 89, 0
2, 753, Note_on_c, 0, 77, 0
2, 753, Note_on_c, 0, 60, 0
2, 753, Note_on_c, 0, 69, 0
2, 753, Note_on_c, 0, 86, 0
2, 798, Note_on_c, 0, 61, 80
2, 798, Note_on_c, 0, 70, 80
2, 798, Note_on_c, 0, 78, 80
2, 798, Note_on_c, 0, 85, 80
2, 798, Note_on_c, 0, 90, 80
2, 846, Note_on_c, 0, 70, 0
2, 850, Note_on_c, 0, 78, 0
2, 852, Note_on_c, 0, 61, 0
2, 852, Note_on_c, 0, 85, 0
2, 852, Note_on_c, 0, 90, 0
2, 893, Control_c, 0, 64, 127
2, 895, Note_on_c, 0, 62, 80
2, 895, Note_on_c, 0, 71, 80
2, 895, Note_on_c, 0, 79, 80
2, 895, Note_on_c, 0, 83, 80
2, 895, Note_on_c, 0, 86, 80
2, 895, Note_on_c, 0, 91, 80
2, 943, Note_on_c, 0, 91, 0
2, 943, Note_on_c, 0, 71, 0
2, 943, Note_on_c, 0, 79, 0
2, 943, Note_on_c, 0, 62, 0
2, 943, Note_on_c, 0, 86, 0
2, 943, Note_on_c, 0, 83, 0
2, 982, Control_c, 0, 64, 0
2, 1089, Note_on_c, 0, 52, 80
2, 1089, Note_on_c, 0, 70, 80
2, 1089, Note_on_c, 0, 76, 80
2, 1091, Note_on_c, 0, 61, 80
2, 1091, Note_on_c, 0, 67, 80
2, 1093, Note_on_c, 0, 79, 80
2, 1245, Note_on_c, 0, 79, 0
2, 1245, Note_on_c, 0, 70, 0
2, 1245, Note_on_c, 0, 76, 0
2, 1245, Note_on_c, 0, 52, 0
2, 1245, Note_on_c, 0, 67, 0
2, 1245, Note_on_c, 0, 61, 0
2, 1279, Control_c, 0, 64, 127
2, 1281, Note_on_c, 0, 53, 80
2, 1281, Note_on_c, 0, 62, 80
2, 1281, Note_on_c, 0, 67, 80
2, 1281, Note_on_c, 0, 71, 80
2, 1281, Note_on_c, 0, 74, 80
2, 1281, Note_on_c, 0, 77, 80
2, 1281, Note_on_c, 0, 79, 80
2, 1345, Control_c, 0, 64, 0
2, 1402, Note_on_c, 0, 62, 0
2, 1404, Note_on_c, 0, 53, 0
2, 1475, Note_on_c, 0, 43, 80
2, 1475, Note_on_c, 0, 50, 80
2, 1475, Note_on_c, 0, 59, 80
2, 1510, Note_on_c, 0, 67, 0
2, 1512, Note_on_c, 0, 79, 0
2, 1512, Note_on_c, 0, 71, 0
2, 1512, Note_on_c, 0, 74, 0
2, 1512, Note_on_c, 0, 77, 0
2, 1574, Note_on_c, 0, 67, 80
2, 1574, Note_on_c, 0, 71, 80
2, 1574, Note_on_c, 0, 74, 80
2, 1574, Note_on_c, 0, 77, 80
2, 1574, Note_on_c, 0, 79, 80
2, 1598, Note_on_c, 0, 79, 0
2, 1598, Note_on_c, 0, 77, 0
2, 1598, Note_on_c, 0, 71, 0
2, 1598, Note_on_c, 0, 74, 0
2, 1600, Note_on_c, 0, 59, 0
2, 1600, Note_on_c, 0, 67, 0
2, 1600, Note_on_c, 0, 50, 0
