 b, c, e, f
102, Note_on_c, 53, 80
104, Note_on_c, 41, 80
122, Note_on_c, 55, 80
124, Note_on_c, 43, 80
128, Note_on_c, 41, 0
128, Note_on_c, 53, 0
146, Note_on_c, 57, 80
148, Note_on_c, 45, 80
150, Note_on_c, 55, 0
152, Note_on_c, 43, 0
170, Note_on_c, 58, 80
172, Note_on_c, 34, 80
172, Note_on_c, 46, 80
174, Note_on_c, 57, 0
186, Note_on_c, 45, 0
243, Control_c, 64, 127
255, Note_on_c, 58, 0
298, Note_on_c, 46, 0
304, Note_on_c, 55, 80
304, Note_on_c, 58, 80
304, Note_on_c, 62, 80
304, Note_on_c, 67, 80
306, Note_on_c, 53, 80
341, Note_on_c, 67, 0
341, Note_on_c, 62, 0
341, Note_on_c, 58, 0
341, Note_on_c, 55, 0
343, Note_on_c, 34, 0
343, Note_on_c, 53, 0
357, Control_c, 64, 0
440, Note_on_c, 41, 80
507, Control_c, 64, 127
571, Note_on_c, 58, 80
571, Note_on_c, 62, 80
571, Note_on_c, 67, 80
571, Note_on_c, 53, 80
571, Note_on_c, 55, 80
604, Note_on_c, 55, 0
604, Note_on_c, 58, 0
604, Note_on_c, 62, 0
604, Note_on_c, 67, 0
606, Note_on_c, 41, 0
606, Note_on_c, 53, 0
620, Control_c, 64, 0
699, Note_on_c, 36, 80
699, Note_on_c, 48, 80
767, Control_c, 64, 127
774, Note_on_c, 55, 80
792, Note_on_c, 48, 0
850, Control_c, 64, 0
898, Control_c, 64, 127
906, Note_on_c, 57, 80
910, Note_on_c, 55, 0
961, Note_on_c, 41, 80
961, Note_on_c, 55, 80
965, Note_on_c, 57, 0
965, Note_on_c, 36, 0
987, Note_on_c, 55, 0
997, Note_on_c, 57, 80
1013, Control_c, 64, 0
1021, Note_on_c, 57, 0
1029, Note_on_c, 55, 80
1062, Note_on_c, 53, 80
1066, Note_on_c, 55, 0
1109, Note_on_c, 53, 0
1109, Note_on_c, 41, 0
1163, Note_on_c, 53, 80
1165, Note_on_c, 41, 80
1185, Note_on_c, 43, 80
1185, Note_on_c, 55, 80
1189, Note_on_c, 41, 0
1189, Note_on_c, 53, 0
1209, Note_on_c, 57, 80
1211, Note_on_c, 55, 0
1211, Note_on_c, 45, 80
1213, Note_on_c, 43, 0
1231, Note_on_c, 58, 80
1233, Note_on_c, 34, 80
1233, Note_on_c, 46, 80
1235, Note_on_c, 57, 0
1247, Note_on_c, 45, 0
1296, Control_c, 64, 127
1308, Note_on_c, 58, 0
1351, Note_on_c, 46, 0
1357, Note_on_c, 55, 80
1357, Note_on_c, 62, 80
1357, Note_on_c, 67, 80
1359, Note_on_c, 53, 80
1359, Note_on_c, 58, 80
1394, Note_on_c, 58, 0
1394, Note_on_c, 62, 0
1394, Note_on_c, 67, 0
1396, Note_on_c, 34, 0
1396, Note_on_c, 53, 0
1396, Note_on_c, 55, 0
1408, Control_c, 64, 0
1491, Note_on_c, 41, 80
1590, Control_c, 64, 127
1618, Note_on_c, 58, 80
1618, Note_on_c, 62, 80
1618, Note_on_c, 67, 80
1620, Note_on_c, 53, 80
1620, Note_on_c, 55, 80
1652, Note_on_c, 55, 0
1652, Note_on_c, 67, 0
1654, Note_on_c, 62, 0
1654, Note_on_c, 41, 0
1654, Note_on_c, 58, 0
1654, Note_on_c, 53, 0
1667, Control_c, 64, 0
1743, Note_on_c, 55, 80
1743, Note_on_c, 58, 80
1743, Note_on_c, 64, 80
1745, Note_on_c, 43, 80
1745, Note_on_c, 48, 80
1812, Note_on_c, 64, 0
1814, Note_on_c, 43, 0
1814, Note_on_c, 55, 0
1814, Note_on_c, 58, 0
1814, Note_on_c, 48, 0
1827, Note_on_c, 60, 80
1827, Note_on_c, 63, 80
1829, Note_on_c, 45, 80
1829, Note_on_c, 53, 80
1829, Note_on_c, 57, 80
1907, Note_on_c, 53, 0
1939, Note_on_c, 60, 0
1941, Note_on_c, 63, 0
1941, Note_on_c, 57, 0
1952, Note_on_c, 45, 0
1958, Note_on_c, 58, 80
1958, Note_on_c, 62, 80
1962, Note_on_c, 46, 80
1962, Note_on_c, 53, 80
1962, Note_on_c, 55, 80
2043, Control_c, 64, 127
2095, Note_on_c, 62, 0
2097, Note_on_c, 53, 0
2097, Note_on_c, 58, 0
2097, Note_on_c, 46, 0
2097, Note_on_c, 55, 0
2159, Control_c, 64, 0
2210, Note_on_c, 41, 80
2210, Note_on_c, 53, 80
2232, Note_on_c, 55, 80
2234, Note_on_c, 43, 80
