0,1,2,3
 53,102,128,0.125
 55,122,150,0.125
 57,146,174,0.125
 58,170,255,0.5
 55,304,341,0.25
 58,304,341,0.25
 53,306,343,0.25
 58,571,604,0.125
 53,571,606,0.125
 55,571,604,0.125
 48,699,792,0.5
 55,774,910,0.75
 57,906,965,0.25
 55,961,987,0.125
 57,997,1021,0.125
 55,1029,1066,0.25
 53,1062,1109,0.25
 53,1163,1189,0.125
 55,1185,1211,0.125
 57,1209,1235,0.125
 58,1231,1308,0.375
 55,1357,1396,0.25
 53,1359,1396,0.25
 58,1359,1394,0.125
 58,1618,1654,0.25
 53,1620,1654,0.125
 55,1620,1652,0.125
 55,1743,1814,0.375
 58,1743,1814,0.375
 48,1745,1814,0.375
 60,1827,1939,0.625
 53,1829,1907,0.375
 57,1829,1941,0.625
 58,1958,2097,0.75
 53,1962,2097,0.75
 55,1962,2097,0.75
 53,2210,2236,0.125
 55,2232,2257,0.125
 57,2254,2281,0.125
 58,2276,2360,0.5
 58,2416,2449,0.125
 53,2418,2449,0.125
 55,2418,2449,0.125
 53,2677,2712,0.125
 55,2677,2712,0.125
 58,2677,2712,0.125
 48,2811,2901,0.5
 55,2884,3025,0.75
 57,3020,3077,0.25
 55,3072,3099,0.125
 57,3105,3133,0.125
 55,3141,3178,0.25
 53,3174,3224,0.25
 53,3274,3300,0.125
 55,3296,3322,0.125
 57,3318,3344,0.125
 58,3340,3423,0.375
 53,3475,3510,0.125
 55,3475,3510,0.125
 58,3475,3510,0.125
 53,3740,3775,0.125
 55,3740,3775,0.125
 58,3740,3775,0.125
 55,3869,3935,0.375
 58,3869,3935,0.375
 48,3871,3935,0.375
 60,3953,4064,0.625
 53,3955,4034,0.375
 57,3955,4064,0.625
 53,4080,4211,0.625
 55,4080,4211,0.625
 58,4080,4211,0.625
 52,4324,4350,0.125
 53,4346,4374,0.125
 54,4370,4396,0.125
 55,4394,4782,1.0
 54,4855,4879,0.125
 53,4875,4901,0.125
 52,4899,4925,0.125
 51,4923,5325,1.0
 60,4955,4981,0.125
 60,5018,5044,0.125
 60,5084,5108,0.125
 60,5153,5177,0.125
 60,5218,5244,0.125
 60,5285,5311,0.125
 60,5352,5378,0.125
 53,5388,5412,0.125
 52,5410,5434,0.125
 51,5430,5456,0.125
 50,5454,5847,1.0
 59,5484,5512,0.125
 59,5551,5577,0.125
 59,5615,5642,0.125
 59,5678,5715,0.25
 59,5745,5783,0.25
 59,5808,5845,0.25
 59,5873,5899,0.125
 51,5908,5934,0.125
 50,5930,5956,0.125
 60,5952,5980,0.125
 48,5954,5980,0.125
 55,5976,6002,0.125
 59,5976,6002,0.125
 53,6008,6032,0.125
 55,6038,6064,0.125
 59,6038,6064,0.125
 53,6072,6099,0.125
 55,6105,6131,0.125
 59,6105,6129,0.125
 53,6137,6165,0.125
 59,6170,6196,0.125
 55,6172,6196,0.125
 53,6204,6228,0.125
 59,6234,6260,0.125
 55,6236,6260,0.125
 53,6269,6293,0.125
 59,6301,6325,0.125
 55,6303,6327,0.125
 53,6335,6360,0.125
 55,6368,6394,0.125
 59,6368,6394,0.125
 53,6400,6426,0.125
 55,6498,6545,0.25
 60,6498,6543,0.25
 48,6500,6545,0.25
 57,6500,6545,0.25
 49,6609,6633,0.125
 50,6629,6853,1.0
 53,6629,6853,1.0
 55,6629,6851,1.0
 59,6629,6851,1.0
 55,6894,7056,0.875
 57,6894,6980,0.5
 60,6894,6978,0.5
 51,6896,6980,0.5
 58,7030,7111,0.375
 52,7032,7125,0.5
 55,7121,7225,0.5
 52,7168,7225,0.25
 58,7168,7225,0.25
 60,7231,7349,0.625
 51,7233,7351,0.625
 53,7233,7306,0.375
 57,7233,7351,0.625
 53,7391,7501,0.625
 51,7432,7501,0.375
 57,7432,7501,0.375
 60,7432,7501,0.375
 48,7521,7547,0.125
 49,7545,7571,0.125
 50,7567,7634,0.375
 55,7567,7634,0.375
 58,7567,7634,0.375
 49,7698,7897,1.0
 55,7698,7897,1.0
 58,7698,7897,1.0
 58,7960,8025,0.375
 52,7962,8025,0.375
 55,7962,8025,0.375
 57,8092,8229,0.75
 48,8094,8229,0.75
 48,8290,8363,0.375
 57,8290,8363,0.375
 48,8458,8527,0.375
 57,8458,8527,0.375
 55,8557,8579,0.125
 56,8575,8601,0.125
 57,8597,8622,0.125
 50,8616,9008,1.0
 58,8616,9006,1.0
 57,9142,9542,1.0
 51,9144,9542,1.0
 55,9603,9629,0.125
 53,9627,9653,0.125
 51,9649,9675,0.125
 50,9673,10071,1.0
 53,10199,10596,1.0
 51,10728,10848,0.625
 53,10856,11064,1.0
 55,11120,11197,0.375
 52,11195,11276,0.375
 52,11342,11409,0.375
 60,11448,11714,1.0
 51,11450,11583,0.75
 57,11450,11583,0.75
 53,11600,11671,0.375
 51,11645,11714,0.375
 57,11645,11714,0.375
 53,11778,11847,0.375
 52,11916,12130,1.0
